provincia,Poblacion,mes,Num,Total_cap
Caceres,394151,6,45,0.000114169442675523
Caceres,394151,7,101,0.000256246971338396
Caceres,394151,8,626,0.00158822380255283
Caceres,394151,9,2234,0.00566787855415818
Caceres,394151,10,3171,0.00804514006053518
Caceres,394151,11,1988,0.00504375226753199
Cadiz,1240155,1,0,0
Cadiz,1240155,2,4,3.22540327620338e-06
Cadiz,1240155,3,950,0.000766033278098302
Cadiz,1240155,4,328,0.000264483068648677
Cadiz,1240155,5,38,3.06413311239321e-05
Cadiz,1240155,6,42,3.38667344001355e-05
Cadiz,1240155,7,118,9.51493966479996e-05
Cadiz,1240155,8,2131,0.00171833359539735
Cadiz,1240155,9,4220,0.00340280045639456
Cadiz,1240155,10,6511,0.00525015018284005
Cadiz,1240155,11,8428,0.00679592470296052
Cantabria,581078,1,0,0
Cantabria,581078,2,11,1.89303329329281e-05
Cantabria,581078,3,1513,0.00260378124795638
Cantabria,581078,4,715,0.00123047164064033
Cantabria,581078,5,84,0.000144558906033269
Cantabria,581078,6,50,8.6046967876946e-05
Cantabria,581078,7,163,0.000280513115278844
Cantabria,581078,8,2040,0.00351071628937939
Cantabria,581078,9,2420,0.00416467324524418
Cantabria,581078,10,3718,0.0063984525313297
Cantabria,581078,11,3969,0.00683040831007197
Castellon,579962,1,0,0
Castellon,579962,2,8,1.37940071935748e-05
Castellon,579962,3,1043,0.00179839368786231
Castellon,579962,4,464,0.000800052417227336
Castellon,579962,5,75,0.000129318817439763
Castellon,579962,6,49,8.44882940606454e-05
Castellon,579962,7,275,0.000474168997279132
Castellon,579962,8,1212,0.00208979208982658
Castellon,579962,9,1597,0.00275362868601736
Castellon,579962,10,3196,0.00551070587383311
Castellon,579962,11,3018,0.00520378921377608
Ceuta,84777,1,0,0
Ceuta,84777,2,0,0
Ceuta,84777,3,88,0.00103801738679123
Ceuta,84777,4,23,0.000271299998820435
Ceuta,84777,5,42,0.000495417389150359
Ceuta,84777,6,10,0.000117956521226276
Ceuta,84777,7,3,3.53869563678828e-05
Ceuta,84777,8,158,0.00186371303537516
Ceuta,84777,9,388,0.00457671302357951
Ceuta,84777,10,1289,0.015204595586067
Ceuta,84777,11,743,0.00876416952711231
Ciudad Real,495761,1,0,0
