provincia_iso,provincia,dia,mes,año,num_casos
,Navarra,07,09,2020,322
O,Asturias,07,09,2020,50
OR,Ourense,07,09,2020,10
P,Palencia,07,09,2020,47
PM,Islas Baleares,07,09,2020,182
PO,Pontevedra,07,09,2020,74
S,Cantabria,07,09,2020,148
SA,Salamanca,07,09,2020,73
SE,Sevilla,07,09,2020,200
SG,Segovia,07,09,2020,32
SO,Soria,07,09,2020,10
SS,Guipuzcoa,07,09,2020,211
T,Tarragona,07,09,2020,83
TE,Teruel,07,09,2020,36
TF,Santa Cruz de Tenerife,07,09,2020,45
TO,Toledo,07,09,2020,233
V,Valencia,07,09,2020,258
VA,Valladolid,07,09,2020,201
VI,Alava,07,09,2020,83
Z,Zaragoza,07,09,2020,241
ZA,Zamora,07,09,2020,18
A,Alicante,08,09,2020,240
AB,Albacete,08,09,2020,54
AL,Almeria,08,09,2020,105
AV,Avila,08,09,2020,23
B,Barcelona,08,09,2020,818
BA,Badajoz,08,09,2020,67
BI,Bizkaia,08,09,2020,359
BU,Burgos,08,09,2020,115
C,A Coruña,08,09,2020,80
CA,Cadiz,08,09,2020,148
CC,Caceres,08,09,2020,54
CE,Ceuta,08,09,2020,15
CO,Cordoba,08,09,2020,88
CR,Ciudad Real,08,09,2020,171
CS,Castellon,08,09,2020,58
CU,Cuenca,08,09,2020,16
GC,Las Palmas,08,09,2020,151
GI,Girona,08,09,2020,131
GR,Granada,08,09,2020,150
GU,Guadalajara,08,09,2020,83
H,Huelva,08,09,2020,30
HU,Huesca,08,09,2020,68
J,Jaen,08,09,2020,63
L,Lleida,08,09,2020,58
LE,Leon,08,09,2020,139
LO,La Rioja,08,09,2020,88
LU,Lugo,08,09,2020,57
M,Madrid,08,09,2020,4448
MA,Malaga,08,09,2020,235
ME,Melilla,08,09,2020,26
MU,Murcia,08,09,2020,425
,Navarra,08,09,2020,272
O,Asturias,08,09,2020,49
OR,Ourense,08,09,2020,22
P,Palencia,08,09,2020,24
PM,Islas Baleares,08,09,2020,154
PO,Pontevedra,08,09,2020,67
S,Cantabria,08,09,2020,106
SA,Salamanca,08,09,2020,82
SE,Sevilla,08,09,2020,228
SG,Segovia,08,09,2020,48
SO,Soria,08,09,2020,15
SS,Guipuzcoa,08,09,2020,207
T,Tarragona,08,09,2020,67
TE,Teruel,08,09,2020,52
TF,Santa Cruz de Tenerife,08,09,2020,36
TO,Toledo,08,09,2020,296
V,Valencia,08,09,2020,279
VA,Valladolid,08,09,2020,123
VI,Alava,08,09,2020,117
Z,Zaragoza,08,09,2020,252
ZA,Zamora,08,09,2020,56
A,Alicante,09,09,2020,231
AB,Albacete,09,09,2020,77
AL,Almeria,09,09,2020,121
AV,Avila,09,09,2020,24
B,Barcelona,09,09,2020,800
BA,Badajoz,09,09,2020,113
BI,Bizkaia,09,09,2020,274
BU,Burgos,09,09,2020,78
C,A Coruña,09,09,2020,73
CA,Cadiz,09,09,2020,158
CC,Caceres,09,09,2020,95
CE,Ceuta,09,09,2020,4
CO,Cordoba,09,09,2020,204
CR,Ciudad Real,09,09,2020,193
CS,Castellon,09,09,2020,52
CU,Cuenca,09,09,2020,43
GC,Las Palmas,09,09,2020,171
GI,Girona,09,09,2020,134
GR,Granada,09,09,2020,147
GU,Guadalajara,09,09,2020,92
H,Huelva,09,09,2020,19
HU,Huesca,09,09,2020,35
J,Jaen,09,09,2020,108
L,Lleida,09,09,2020,46
LE,Leon,09,09,2020,138
LO,La Rioja,09,09,2020,101
LU,Lugo,09,09,2020,48
M,Madrid,09,09,2020,4819
MA,Malaga,09,09,2020,223
ME,Melilla,09,09,2020,44
MU,Murcia,09,09,2020,391
,Navarra,09,09,2020,307
O,Asturias,09,09,2020,68
OR,Ourense,09,09,2020,21
P,Palencia,09,09,2020,42
PM,Islas Baleares,09,09,2020,149
PO,Pontevedra,09,09,2020,60
S,Cantabria,09,09,2020,124
SA,Salamanca,09,09,2020,55
SE,Sevilla,09,09,2020,261
SG,Segovia,09,09,2020,38
SO,Soria,09,09,2020,17
SS,Guipuzcoa,09,09,2020,175
T,Tarragona,09,09,2020,72
TE,Teruel,09,09,2020,36
TF,Santa Cruz de Tenerife,09,09,2020,48
TO,Toledo,09,09,2020,295
V,Valencia,09,09,2020,275
VA,Valladolid,09,09,2020,187
VI,Alava,09,09,2020,81
Z,Zaragoza,09,09,2020,294
ZA,Zamora,09,09,2020,31
A,Alicante,10,09,2020,230
AB,Albacete,10,09,2020,63
AL,Almeria,10,09,2020,141
AV,Avila,10,09,2020,45
B,Barcelona,10,09,2020,909
BA,Badajoz,10,09,2020,102
BI,Bizkaia,10,09,2020,174
BU,Burgos,10,09,2020,137
C,A Coruña,10,09,2020,116
CA,Cadiz,10,09,2020,128
CC,Caceres,10,09,2020,113
CE,Ceuta,10,09,2020,9
CO,Cordoba,10,09,2020,157
CR,Ciudad Real,10,09,2020,230
CS,Castellon,10,09,2020,49
CU,Cuenca,10,09,2020,37
GC,Las Palmas,10,09,2020,176
GI,Girona,10,09,2020,181
GR,Granada,10,09,2020,128
GU,Guadalajara,10,09,2020,95
H,Huelva,10,09,2020,24
HU,Huesca,10,09,2020,35
J,Jaen,10,09,2020,64
L,Lleida,10,09,2020,58
LE,Leon,10,09,2020,96
